RegulationID,SpeciesID,RegionID,Quota,RegulationDate,ExpiryDate
1,1,1,1500.00,2024-01-01,2024-01-20
2,2,2,1200.00,2024-02-01,2024-02-21
3,3,3,2000.00,2024-03-01,2024-03-22
4,4,4,1800.00,2024-04-01,2024-04-21
5,5,5,1600.00,2024-05-01,2024-05-22
6,6,6,1400.00,2024-06-01,2024-06-21
7,7,7,1300.00,2024-07-01,2024-07-22
13,13,13,1600.00,2024-01-15,2024-02-04
14,14,14,1800.00,2024-02-15,2024-03-06
15,15,15,1500.00,2024-03-15,2024-04-04
16,16,1,1200.00,2024-04-15,2024-05-05
17,17,2,1400.00,2024-05-15,2024-06-04
18,18,3,1800.00,2024-06-15,2024-07-05
19,19,4,1500.00,2024-07-15,2024-08-04
